取引時期,市区町村名,取引価格（㎡単価）
2022年第2四半期,東村山市,227272.72727272726
2022年第2四半期,板橋区,554190.4761904762
2022年第2四半期,武蔵村山市,160181.81818181818
2022年第2四半期,武蔵野市,581000.0
2022年第2四半期,江戸川区,401911.1111111111
2022年第2四半期,江東区,657733.3333333334
2022年第2四半期,清瀬市,227000.0
2022年第2四半期,渋谷区,1484705.8823529412
2022年第2四半期,港区,2275000.0
2022年第2四半期,狛江市,322000.0
2022年第2四半期,町田市,180560.3448275862
2022年第2四半期,目黒区,900880.0
2022年第2四半期,福生市,166666.66666666666
2022年第2四半期,稲城市,283333.3333333333
2022年第2四半期,立川市,234485.7142857143
2022年第2四半期,練馬区,465714.28571428574
2022年第2四半期,羽村市,149166.66666666666
2022年第2四半期,荒川区,591935.4838709678
2022年第2四半期,葛飾区,387241.3793103448
2022年第2四半期,西多摩郡日の出町,19000.0
2022年第2四半期,西多摩郡瑞穂町,77990.90909090909
2022年第2四半期,西東京市,351250.0
2022年第2四半期,調布市,386111.1111111111
2022年第2四半期,豊島区,886315.7894736842
2022年第2四半期,足立区,381296.2962962963
2022年第2四半期,青梅市,102260.0
2022年第3四半期,あきる野市,108157.8947368421
2022年第3四半期,三宅村,3400.0
2022年第3四半期,三鷹市,409257.14285714284
2022年第3四半期,世田谷区,828833.3333333334
2022年第3四半期,中央区,2606666.6666666665
2022年第3四半期,中野区,742758.6206896552
2022年第3四半期,八丈町,6966.0
2022年第3四半期,八王子市,116784.61538461539
2022年第3四半期,北区,732333.3333333334
2022年第3四半期,千代田区,2700000.0
2022年第3四半期,台東区,1380000.0
2022年第3四半期,品川区,954294.1176470588
2022年第3四半期,国分寺市,320307.6923076923
2022年第3四半期,国立市,393636.36363636365
2022年第3四半期,墨田区,694761.9047619047
2022年第3四半期,多摩市,260000.0
2022年第3四半期,大島町,12000.0
2022年第3四半期,大田区,658833.3333333334
2022年第3四半期,小平市,326666.6666666667
2022年第3四半期,小金井市,340000.0
2022年第3四半期,府中市,321636.36363636365
2022年第3四半期,文京区,1281250.0
2022年第3四半期,新宿区,844736.8421052631
2022年第3四半期,新島村,5186.666666666667
2022年第3四半期,日野市,230000.0
2022年第3四半期,昭島市,216000.0
2022年第3四半期,杉並区,644254.2372881356
2022年第3四半期,東久留米市,312466.6666666667
2022年第3四半期,東大和市,181333.33333333334
2022年第3四半期,東村山市,222380.95238095237
2022年第3四半期,板橋区,552731.7073170731
2022年第3四半期,武蔵村山市,114000.0
2022年第3四半期,武蔵野市,656666.6666666666
2022年第3四半期,江戸川区,386439.0243902439
2022年第3四半期,江東区,757473.6842105263
2022年第3四半期,清瀬市,259555.55555555556
2022年第3四半期,渋谷区,2110588.2352941176
2022年第3四半期,港区,2842857.1428571427
2022年第3四半期,狛江市,334000.0
2022年第3四半期,町田市,153190.9090909091
2022年第3四半期,目黒区,1093750.0
2022年第3四半期,福生市,158333.33333333334
2022年第3四半期,稲城市,162500.0
2022年第3四半期,立川市,430650.0
2022年第3四半期,練馬区,487031.25
2022年第3四半期,羽村市,168333.33333333334
2022年第3四半期,荒川区,599615.3846153846
2022年第3四半期,葛飾区,351842.1052631579
2022年第3四半期,西多摩郡日の出町,51500.0
2022年第3四半期,西多摩郡檜原村,12000.0
2022年第3四半期,西多摩郡瑞穂町,88785.71428571429
2022年第3四半期,西東京市,307692.3076923077
2022年第3四半期,調布市,367066.6666666667
2022年第3四半期,豊島区,1161000.0
2022年第3四半期,足立区,378304.347826087
2022年第3四半期,青梅市,88714.28571428571
2022年第4四半期,あきる野市,86578.94736842105
2022年第4四半期,三鷹市,437500.0
2022年第4四半期,世田谷区,796190.4761904762
