walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
3,150,2023,8.0,77.0,False,False,True,False,False,150.0
11,75,2022,4.0,50.6,True,False,True,False,False,70.0
6,75,2022,3.0,59.8,True,False,True,False,False,76.0
5,110,2022,3.4,84.6125,True,True,False,True,False,110.0
9,90,2022,4.1,60.4375,True,True,False,True,False,89.0
5,85,2021,3.4,71.19413,True,False,True,False,False,73.0
6,130,2021,4.0,86.450015,True,True,False,True,False,130.0
5,110,2021,4.0,86.450015,False,False,False,True,False,150.0
4,125,2021,4.0,91.35,False,True,True,False,False,180.0
7,95,2021,5.2,39.15,True,True,False,False,False,87.0
5,115,2021,4.2,60.9,False,False,False,True,True,160.0
5,300,2021,4.0,255.0,True,False,False,True,False,270.0
4,110,2020,4.0,76.0,False,False,False,True,True,140.0
4,105,2020,4.0,71.25,False,False,False,True,True,140.0
14,100,2023,6.0,43.8,True,False,False,True,False,120.0
5,100,2022,4.0,76.5,True,False,False,False,True,120.0
3,115,2021,4.7,90.0,True,True,False,True,False,99.0
8,175,2023,5.8,117.0,True,False,False,True,False,180.0
8,80,2022,4.0,58.5,True,True,False,True,False,100.0
4,75,2021,3.4,42.3,True,False,True,False,True,73.0
3,135,2023,4.0,177.72859,True,True,True,False,False,150.0
6,85,2022,3.1,55.55,True,False,False,True,True,93.0
4,95,2023,3.3,120.694145,True,False,True,False,True,80.0
8,75,2022,4.0,65.0,True,False,False,False,True,87.0
7,85,2022,4.0,53.35,True,True,False,False,False,87.0
8,70,2022,4.0,48.5,True,False,True,False,False,83.0
8,130,2020,3.7,100.05,False,True,False,False,False,150.0
8,130,2020,4.0,132.21767,False,True,False,False,False,160.0
7,130,2022,4.0,47.5,True,False,True,False,False,140.0
4,65,2021,5.0,45.6,True,False,True,False,True,76.0
16,85,2023,4.0,55.0,True,False,False,True,True,70.0
19,85,2022,6.0,67.275,True,False,False,True,False,57.0
9,95,2023,3.7,95.499975,True,False,True,False,True,110.0
7,125,2022,4.0,238.0,True,False,False,True,False,110.0
7,100,2023,4.0,204.0,True,False,False,True,True,85.0
8,115,2022,3.5,54.249975,True,True,False,True,False,130.0
8,115,2022,3.5,50.63331,True,True,False,True,False,120.0
9,115,2021,3.8,56.55,True,True,False,False,False,100.0
5,65,2022,3.0,66.91998,True,False,True,False,False,64.0
8,70,2021,4.0,50.300005,True,True,False,False,False,50.0
9,65,2023,6.0,52.25,True,True,True,False,False,70.0
7,80,2022,6.0,29.0,True,True,False,False,False,50.0
9,75,2021,11.0,42.808315,True,False,True,False,True,47.0
10,105,2023,2.4,136.0,True,False,True,False,False,77.0
6,80,2022,5.2,42.525,True,True,False,False,False,65.0
7,80,2022,3.7,66.0,True,False,True,False,True,64.0
5,90,2024,25.0,57.299985,True,False,False,True,True,71.0
7,85,2023,4.0,63.28,True,False,False,True,False,71.0
7,75,2023,2.9,54.24,True,False,False,False,True,58.0
15,90,2022,8.0,64.2,True,False,False,False,True,65.0
5,80,2023,3.4,40.46668,True,True,False,False,False,72.0
3,60,2023,6.0,31.64,True,False,True,False,False,47.0
3,100,2023,3.6,119.0,True,False,True,False,False,130.0
3,75,2021,4.0,36.0,True,False,False,False,True,69.0
13,65,2021,4.0,26.55,True,True,True,False,False,64.0
7,65,2023,2.7,44.56,True,False,False,True,False,62.0
12,75,2022,6.0,46.2,True,False,False,False,True,67.0
8,100,2023,3.1,79.125,True,True,True,False,False,86.0
6,80,2024,4.4,68.575,False,False,True,False,True,65.0
7,85,2022,3.0,46.0,True,False,True,False,True,69.0
4,60,2021,4.4,35.44,True,False,False,True,True,57.0
4,95,2021,3.1,51.15,True,False,False,True,True,62.0
5,70,2021,3.0,40.8,True,False,True,False,False,59.0
9,110,2022,2.8,34.125,True,True,False,True,False,50.0
8,80,2023,4.3,23.250015,True,True,True,False,False,60.0
6,100,2024,4.0,33.583355,True,True,True,False,False,58.0
7,90,2024,4.0,31.00002,True,True,True,False,False,68.0
7,85,2023,3.6,16.75,True,False,False,True,True,65.0
5,80,2023,3.2,23.0,True,False,False,True,True,50.0
8,115,2023,3.8,26.208,True,False,True,False,True,55.0
10,70,2022,4.5,16.128,True,True,False,False,False,55.0
5,100,2022,4.0,43.916695,True,False,False,True,True,60.0
8,95,2022,4.0,28.416685,True,True,True,False,False,73.0
3,70,2021,4.0,22.725,True,True,False,True,False,40.0
5,60,2020,1.8,22.166655,True,False,False,False,True,30.0
8,65,2023,1.9,13.2,True,False,False,True,True,35.0
6,70,2023,3.7,38.4,True,True,True,False,False,47.0
7,90,2023,4.0,35.2,True,True,True,False,False,53.0
5,100,2023,5.0,41.6,True,False,False,False,True,63.0
5,85,2023,4.0,20.25,True,True,True,False,False,53.0
4,85,2023,5.7,21.6,True,False,True,False,False,60.0
5,55,2022,2.4,12.8,True,False,False,False,True,34.0
9,60,2022,2.7,11.2,True,False,True,False,False,34.0
2,100,2021,3.9,14.3,True,False,True,False,False,53.0
3,115,2021,6.2,23.1,True,False,False,True,False,49.0
8,105,2021,4.0,35.7,True,False,False,False,True,51.0
6,75,2021,3.8,61.132,True,False,True,False,False,36.0
6,100,2023,4.0,31.875,True,False,False,True,False,58.0
6,85,2022,2.5,28.2,True,True,False,False,False,51.0
8,90,2020,3.6,19.158315,True,False,False,False,True,44.0
6,70,2021,3.7,13.93332,True,False,False,True,False,40.0
8,50,2023,2.9,7.63,True,False,False,True,False,28.0
8,85,2022,3.0,47.883305,True,False,False,True,False,53.0
6,85,2021,3.2,15.4,True,True,True,False,False,40.0
