"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東陽","東陽町",5,41000000,2500000,55,760000,"不整形",4.5,"住宅","南","私道",4,"準工業",60,300,"2022年第3四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東陽","東陽町",7,170000000,3000000,185,900000,"長方形",8.9,"事務所","南","区道",8,"準工業",60,300,"2021年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","常盤","森下(東京)",5,140000000,3500000,135,1000000,"不整形",7,"住宅","東","区道",11,"準工業",60,300,"2021年第1四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13108","東京都","江東区","富岡","門前仲町",2,100000000,6100000,55,1900000,"長方形",5.4,"店舗","北東","区道",8,"商業",80,400,"2022年第3四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13108","東京都","江東区","富岡","門前仲町",6,500000000,6500000,250,2000000,"ほぼ長方形",11,"住宅","西","区道",8,"近隣商業",80,400,"2022年第1四半期","隣地の購入"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","大島(東京)",10,30000000,1200000,80,380000,"長方形",7.3,"住宅","西","区道",6,"準工業",60,300,"2023年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","東大島",21,51000000,1300000,130,400000,"長方形",10.7,"住宅","南","私道",4,"準工業",60,300,"2022年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","東大島",12,61000000,1700000,120,510000,"不整形",6.4,"その他","東","都道",20,"準工業",60,400,"2021年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",12,30000000,2000000,50,620000,"ほぼ長方形",4.8,"住宅","南","私道",3.8,"準工業",60,300,"2023年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",12,27000000,1500000,60,450000,"不整形",2.5,"住宅","南","私道",3.8,"準工業",60,300,"2023年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",16,880000000,4200000,680,1300000,"ほぼ長方形",20,"住宅","南","都道",15,"準工業",60,300,"2023年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",16,53000000,3000000,60,900000,"ほぼ長方形",5.6,"住宅","南","区道",5.9,"準工業",60,300,"2023年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",12,52000000,1400000,125,420000,"ほぼ長方形",10.9,"","西","区道",5.7,"１種住居",60,300,"2022年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",15,490000000,2400000,680,720000,"ほぼ台形",20.2,"住宅","南","都道",15,"準工業",60,300,"2022年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",13,48000000,1500000,110,450000,"ほぼ長方形",7.3,"住宅","南","私道",3.8,"準工業",60,300,"2022年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",13,31000000,1600000,60,490000,"長方形",5.4,"住宅","西","区道",5.7,"１種住居",60,300,"2022年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",22,120000000,6900000,55,2100000,"ほぼ長方形",5.5,"住宅","南","道路",2.7,"準工業",60,300,"2022年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",18,25000000,1500000,55,460000,"長方形",5.6,"住宅","西","道路",4,"準工業",60,300,"2021年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",23,16000000,1100000,50,330000,"長方形",4.9,"住宅","南","私道",4,"準工業",60,300,"2021年第4四半期","私道を含む取引"
