url	bukken_title	madori	construction_area	land_area	price	construction_year	construction_month	features	todofukenNm	shikugunNm	tohoJikan1
https://suumo.jp/ikkodate/tokyo/sc_edogawa/nc_75221101/	75221101	5LDK	108.88	74.79	57800000	2024	08	南向き|システムキッチン|浴室乾燥機|ＬＤＫ１５畳以上|角地|トイレ２ヶ所|浴室１坪以上|複層ガラス|温水洗浄便座|床下収納|ＴＶモニタ付インターホン|食器洗乾燥機|浄水器	東京都	江戸川区	
https://suumo.jp/ikkodate/tokyo/sc_sumida/nc_75395717/	75395717	3LDK	78.13	41.62	57800000	2024	08	フラット３５Sに対応|地盤調査済|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|ＬＤＫ１５畳以上|整形地|シャワー付洗面化粧台|対面式キッチン|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|複層ガラス|オートバス|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|通風良好|全居室フローリング|３階建以上|リビング階段|都市ガス|小学校 徒歩10分以内|ルーフバルコニー|平坦地	東京都	墨田区	5
https://suumo.jp/ikkodate/tokyo/sc_katsushika/nc_75120073/	75120073	3LDK	104.43	74.55	54900000	2024	04	設計住宅性能評価書|建設住宅性能評価書（新築時）|フラット３５・S適合証明書|省エネルギー対策|フラット３５Sに対応|地盤調査済|即引渡可|２沿線以上利用可|ＬＤＫ１８畳以上|省エネ給湯器|スーパー 徒歩10分以内|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|始発駅|整形地|シャワー付洗面化粧台|対面式キッチン|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|２面以上バルコニー|南面バルコニー|複層ガラス|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|通風良好|全居室フローリング|パントリー（食器・食品の収納庫）|ウォークインクローゼット|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|小学校 徒歩10分以内|ルーフバルコニー|食器洗乾燥機|周辺交通量少なめ|浄水器|スマートキー|ビルトインガレージ	東京都	葛飾区	15
https://suumo.jp/ikkodate/tokyo/sc_ota/nc_74887563/	74887563	2LDK+S	84.66	71.63	57900000	2024	08	設計住宅性能評価書|建設住宅性能評価書（新築時）|駐車２台可|省エネ給湯器|南向き|システムキッチン|浴室乾燥機|駅まで平坦|南側道路面す|前道６ｍ以上|シャワー付洗面化粧台|対面式キッチン|トイレ２ヶ所|浴室１坪以上|南面バルコニー|温水洗浄便座|浴室に窓|ＴＶモニタ付インターホン|全居室フローリング|全居室複層ガラスか複層サッシ|全室２面採光|平坦地|食器洗乾燥機|浄水器	東京都	大田区	17
https://suumo.jp/ikkodate/tokyo/sc_nerima/nc_75205524/	75205524	2LDK+2S	102.26	70	58900000	2024	06	設計住宅性能評価書|建設住宅性能評価書（新築時）|省エネルギー対策|フラット３５Sに対応|地盤調査済|即引渡可|２沿線以上利用可|省エネ給湯器|スーパー 徒歩10分以内|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|ＬＤＫ１５畳以上|前道６ｍ以上|角地|シャワー付洗面化粧台|対面式キッチン|３面採光|バリアフリー|トイレ２ヶ所|浴室１坪以上|２面以上バルコニー|南面バルコニー|複層ガラス|オートバス|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|緑豊かな住宅地|通風良好|全居室フローリング|ウォークインクローゼット|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|小学校 徒歩10分以内|平坦地|納戸|食器洗乾燥機|周辺交通量少なめ|浄水器|高機能トイレ|ビルトインガレージ	東京都	練馬区	8
https://suumo.jp/ikkodate/tokyo/sc_nerima/nc_74861341/	74861341	4LDK	100.19	117.04	59800000	2024	04	長期優良住宅認定通知書|設計住宅性能評価書|建設住宅性能評価書（新築時）|BELS/省エネ基準適合認定書あり|省エネルギー対策|フラット３５Sに対応|即引渡可|２沿線以上利用可|ＬＤＫ１８畳以上|省エネ給湯器|スーパー 徒歩10分以内|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|南側道路面す|閑静な住宅地|角地|始発駅|シャワー付洗面化粧台|対面式キッチン|バリアフリー|トイレ２ヶ所|浴室１坪以上|２階建|南面バルコニー|オートバス|高速ネット対応|温水洗浄便座|南庭|床下収納|浴室に窓|ＴＶモニタ付インターホン|緑豊かな住宅地|通風良好|全居室フローリング|パントリー（食器・食品の収納庫）|ウォークインクローゼット|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|シューズインクローク|全室２面採光|小学校 徒歩10分以内|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ|浄水器|高機能トイレ	東京都	練馬区	
https://suumo.jp/ikkodate/tokyo/sc_suginami/nc_75130332/	75130332	2LDK	79.47	68.05	59800000	2024	09	システムキッチン|陽当り良好|全居室収納|閑静な住宅地|ＬＤＫ１５畳以上|対面式キッチン|トイレ２ヶ所|２階建|南面バルコニー|複層ガラス|温水洗浄便座|床下収納|ＴＶモニタ付インターホン|通風良好|リビング階段|都市ガス|小学校 徒歩10分以内	東京都	杉並区	9
https://suumo.jp/ikkodate/tokyo/sc_toshima/nc_74161561/	74161561	2LDK	50.1	83.05	59800000	2023	11	２沿線以上利用可|スーパー 徒歩10分以内|市街地が近い|浴室乾燥機|陽当り良好|南側道路面す|閑静な住宅地|総合病院 徒歩10分以内|２階建|オートバス|温水洗浄便座|緑豊かな住宅地|都市近郊|全居室フローリング|リビング階段|都市ガス|全室２面採光|小学校 徒歩10分以内|周辺交通量少なめ|整備された歩道	東京都	豊島区	9
https://suumo.jp/ikkodate/tokyo/sc_nerima/nc_74951479/	74951479	3LDK	87.14	88.91	59900000	2024	02	長期優良住宅認定通知書|設計住宅性能評価書|建設住宅性能評価書（新築時）|BELS/省エネ基準適合認定書あり|省エネルギー対策|フラット３５Sに対応|地盤調査済|即引渡可|２沿線以上利用可|省エネ給湯器|スーパー 徒歩10分以内|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|ＬＤＫ１５畳以上|始発駅|シャワー付洗面化粧台|対面式キッチン|３面採光|バリアフリー|トイレ２ヶ所|浴室１坪以上|２階建|南面バルコニー|オートバス|温水洗浄便座|ロフト|南庭|床下収納|浴室に窓|ＴＶモニタ付インターホン|緑豊かな住宅地|通風良好|全居室フローリング|パントリー（食器・食品の収納庫）|ウォークインクローゼット|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|小学校 徒歩10分以内|平坦地|屋根裏収納|床暖房|食器洗乾燥機|周辺交通量少なめ|浄水器|スマートキー|高機能トイレ	東京都	練馬区	22
https://suumo.jp/ikkodate/tokyo/sc_edogawa/nc_74886836/	74886836	4LDK+S	99.36	100.18	59980000	2023	11	設計住宅性能評価書|建設住宅性能評価書（新築時）|フラット３５・S適合証明書|年内引渡可|駐車２台可|２沿線以上利用可|ＬＤＫ１８畳以上|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|角地|整形地|ワイドバルコニー|バリアフリー|浴室１坪以上|２階建|南面バルコニー|複層ガラス|全室南向き|オートバス|浴室に窓|通風良好|全居室フローリング|全居室複層ガラスか複層サッシ|都市ガス|小学校 徒歩10分以内|平坦地|床暖房|食器洗乾燥機|浄水器	東京都	江戸川区	15
https://suumo.jp/ikkodate/tokyo/sc_katsushika/nc_75069957/	75069957	3LDK	88.59	53.14	59980000	2024	04	設計住宅性能評価書|地盤調査済|年内引渡可|スーパー 徒歩10分以内|市街地が近い|システムキッチン|陽当り良好|駅まで平坦|閑静な住宅地|ＬＤＫ１５畳以上|対面式キッチン|トイレ２ヶ所|南面バルコニー|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|通風良好|全居室フローリング|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ|整備された歩道	東京都	葛飾区	13
https://suumo.jp/ikkodate/tokyo/sc_adachi/nc_75412297/	75412297	3LDK+S	98.01	58.87	60800000	2024	12	フラット３５・S適合証明書|フラット３５Sに対応|高気密高断熱住宅|地盤調査済|年内引渡可|スーパー 徒歩10分以内|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|ＬＤＫ１５畳以上|角地|シャワー付洗面化粧台|対面式キッチン|EV車充電設備|ワイドバルコニー|トイレ２ヶ所|自然素材使用|浴室１坪以上|２面以上バルコニー|南面バルコニー|複層ガラス|オートバス|温水洗浄便座|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|都市近郊|通風良好|全居室フローリング|眺望良好|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|小学校 徒歩10分以内|ルーフバルコニー|屋上|納戸|浄水器|高機能トイレ|ビルトインガレージ	東京都	足立区	5
https://suumo.jp/ikkodate/tokyo/sc_nerima/nc_75428911/	75428911	2LDK+S	79.64	78.74	61800000	2024	12	省エネ給湯器|システムキッチン|浴室乾燥機|ＬＤＫ１５畳以上|トイレ２ヶ所|温水洗浄便座|ロフト|全居室フローリング|食器洗乾燥機|浄水器	東京都	練馬区	15
https://suumo.jp/ikkodate/tokyo/sc_ota/nc_75145254/	75145254	3LDK	84.24	46.76	61800000	2024	05	フラット３５・S適合証明書|地盤調査済|即引渡可|２沿線以上利用可|スーパー 徒歩10分以内|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|駅まで平坦|閑静な住宅地|ＬＤＫ１５畳以上|総合病院 徒歩10分以内|角地|整形地|シャワー付洗面化粧台|対面式キッチン|ハイルーフ駐車場|バリアフリー|トイレ２ヶ所|浴室１坪以上|２面以上バルコニー|オートバス|温水洗浄便座|浴室に窓|ＴＶモニタ付インターホン|緑豊かな住宅地|前面棟無|通風良好|全居室フローリング|眺望良好|３階建以上|都市ガス|全室２面採光|小学校 徒歩10分以内|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ|隣家との間隔が大きい|浄水器	東京都	大田区	4
https://suumo.jp/ikkodate/tokyo/sc_katsushika/nc_75372703/	75372703	4LDK	99.49	77.11	61800000	2024	08	フラット３５Sに対応|地盤調査済|ＬＤＫ２０畳以上|省エネ給湯器|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|前道６ｍ以上|角地|整形地|シャワー付洗面化粧台|対面式キッチン|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|２面以上バルコニー|複層ガラス|オートバス|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|通風良好|全居室フローリング|３階建以上|リビング階段|都市ガス|シューズインクローク|小学校 徒歩10分以内|ルーフバルコニー|平坦地|食器洗乾燥機	東京都	葛飾区	16
https://suumo.jp/ikkodate/tokyo/sc_ota/nc_74763673/	74763673	3LDK	84.24	46.76	61800000	2024	05	フラット３５Sに対応|年内引渡可|市街地が近い|システムキッチン|浴室乾燥機|陽当り良好|閑静な住宅地|ＬＤＫ１５畳以上|角地|整形地|対面式キッチン|トイレ２ヶ所|浴室１坪以上|２面以上バルコニー|複層ガラス|温水洗浄便座|浴室に窓|ＴＶモニタ付インターホン|通風良好|全居室フローリング|眺望良好|３階建以上|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ	東京都	大田区	4
https://suumo.jp/ikkodate/tokyo/sc_kita/nc_75395983/	75395983	3LDK	97.13	52.41	61800000	2024	10	地盤調査済|年内引渡可|スーパー 徒歩10分以内|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|南側道路面す|閑静な住宅地|ＬＤＫ１５畳以上|前道６ｍ以上|角地|整形地|シャワー付洗面化粧台|対面式キッチン|バリアフリー|浴室１坪以上|２面以上バルコニー|南面バルコニー|オートバス|温水洗浄便座|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|緑豊かな住宅地|都市近郊|通風良好|全居室フローリング|パントリー（食器・食品の収納庫）|３階建以上|リビング階段|都市ガス|床暖房|食器洗乾燥機|周辺交通量少なめ|整備された歩道|浄水器|高機能トイレ|ビルトインガレージ	東京都	北区	7
https://suumo.jp/ikkodate/tokyo/sc_adachi/nc_75044622/	75044622	4LDK	100.19	70.69	62800000	2024	04	即引渡可|２沿線以上利用可|スーパー 徒歩10分以内|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|ＬＤＫ１５畳以上|総合病院 徒歩10分以内|前道６ｍ以上|角地|始発駅|シャワー付洗面化粧台|対面式キッチン|セキュリティ充実|ワイドバルコニー|３面採光|バリアフリー|トイレ２ヶ所|自然素材使用|浴室１坪以上|２面以上バルコニー|オートバス|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|緑豊かな住宅地|都市近郊|前面棟無|通風良好|全居室フローリング|３階建以上|都市ガス|全室２面採光|小学校 徒歩10分以内|平坦地|食器洗乾燥機|周辺交通量少なめ|隣家との間隔が大きい|整備された歩道|浄水器|高機能トイレ	東京都	足立区	11
