,district,walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
54796,東村山市,3,85,2021,4.5,16.905,True,True,False,False,False,31.0
54797,東村山市,3,90,2021,4.5,16.17,True,False,False,True,False,36.0
54798,東村山市,3,90,2021,4.0,17.64,True,False,False,True,False,36.0
54801,東村山市,2,90,2021,4.5,9.78,True,True,False,False,False,29.0
54802,東村山市,3,85,2021,4.5,8.965,True,False,False,True,False,31.0
55260,国分寺市,7,85,2022,4.0,27.999975,True,False,False,False,True,52.0
55261,国分寺市,7,85,2022,4.0,27.999975,True,False,True,False,False,50.0
55264,国分寺市,8,90,2023,4.0,31.3375,True,False,False,True,False,59.0
55269,国分寺市,19,95,2022,6.0,43.8,True,False,True,False,False,54.0
55270,国分寺市,19,105,2022,6.0,64.4,True,False,False,False,True,56.0
55271,国分寺市,20,80,2021,5.5,27.5,True,False,False,True,False,39.0
55273,国分寺市,15,100,2021,5.0,38.75,True,False,False,True,False,46.0
55274,国分寺市,15,100,2021,5.0,38.75,True,False,False,True,False,46.0
55279,国分寺市,11,100,2021,7.5,26.0,True,False,False,True,False,46.0
55284,国分寺市,20,95,2023,5.0,66.037545,True,False,False,True,False,74.0
55286,国分寺市,21,100,2023,6.0,43.875,True,False,False,True,False,68.0
55287,国分寺市,22,95,2022,5.5,62.65,True,False,True,False,False,68.0
55288,国分寺市,20,100,2023,6.0,60.4125,True,False,False,True,False,68.0
55290,国分寺市,23,100,2022,6.0,50.225,True,False,False,True,False,70.0
55291,国分寺市,24,90,2022,5.5,65.99268,True,False,False,True,False,39.0
55292,国分寺市,21,100,2022,7.0,98.98902,True,True,True,False,False,73.0
55293,国分寺市,21,100,2022,5.5,68.53086,True,False,True,False,False,71.0
55294,国分寺市,21,100,2022,5.5,68.53086,True,False,True,False,False,72.0
55295,国分寺市,21,95,2022,6.0,71.06904,True,False,True,False,False,66.0
55296,国分寺市,26,75,2022,4.0,34.335665,True,False,False,False,True,43.0
55297,国分寺市,25,90,2021,4.0,33.38258,True,False,False,True,False,41.0
55300,国分寺市,22,80,2021,4.0,29.0833,True,True,False,False,False,42.0
